INFO  - 2017-11-13 10:28:24.729; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2017-11-13 10:28:24.731; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2017-11-13 10:28:24.857; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2017-11-13 10:28:24.867; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2017-11-13 10:28:25.003; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/collection1/
INFO  - 2017-11-13 10:28:25.039; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2017-11-13 10:28:25.049; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/collection1/, dataDir=/Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/collection1/data/
INFO  - 2017-11-13 10:28:25.056; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2017-11-13 10:28:25.062; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2017-11-13 10:28:25.063; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2017-11-13 10:28:25.084; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/collection1/data
INFO  - 2017-11-13 10:28:25.088; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/collection1/data/index/
WARN  - 2017-11-13 10:28:25.089; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2017-11-13 10:28:25.101; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/collection1/data/index
INFO  - 2017-11-13 10:28:25.180; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2017-11-13 10:28:25.182; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2017-11-13 10:28:25.187; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
